Thana,District,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt,Accident_Severity
1,45,5,2001,4,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
3,36,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,21,2,2,0
1,38,5,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,40,2,2,1
5,38,2,2001,2,1,1,2,2,1,1,2,1,2,1,3,1,2,4,6,1,1,33,2,2,0
6,38,5,2001,1,1,1,2,2,1,4,2,1,1,1,1,1,2,10,10,1,1,30,2,2,0
1,38,6,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,6,6,1,1,28,2,2,1
1,50,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,5,1,1,33,2,2,1
10,50,7,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,6,6,1,1,33,2,2,0
1,40,8,2001,3,1,1,2,2,1,1,2,1,1,1,3,1,2,5,6,1,1,33,2,2,0
3,40,8,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
3,40,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
1,45,6,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,1,8,6,1,1,33,2,2,0
2,45,6,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,40,2,2,1
6,45,6,2001,2,1,1,2,2,2,1,1,2,1,1,1,1,2,9,6,1,1,33,2,2,1
1,35,5,2001,2,1,1,2,2,1,2,2,1,1,1,2,1,2,14,6,1,1,25,2,2,1
1,35,5,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,7,6,1,1,33,2,2,1
2,35,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
4,35,5,2001,2,1,1,2,2,2,1,1,2,1,1,1,2,2,9,6,1,1,33,2,2,3
1,35,6,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,33,2,2,0
1,39,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
1,47,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,3,2,14,6,1,1,33,2,2,0
8,47,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,10,6,1,1,33,2,2,1
8,47,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,33,2,2,1
9,47,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,13,6,1,1,33,2,2,0
12,50,8,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,1,14,6,1,1,45,2,2,0
1,43,8,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
5,47,8,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,33,2,2,1
5,47,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,32,2,2,1
2,45,7,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1,33,2,2,1
1,35,8,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,1,8,6,1,1,33,2,2,2
4,35,9,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,14,6,1,1,33,2,2,2
5,41,4,2001,1,1,1,2,1,1,4,1,1,1,1,2,1,1,14,6,1,1,33,2,2,0
2,35,10,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
1,38,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
1,45,10,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,8,6,1,1,25,2,2,0
2,36,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,33,2,2,1
1,38,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
1,45,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,1
6,45,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,33,2,2,0
8,47,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,33,2,2,0
8,47,11,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
9,47,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
1,38,12,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1,45,2,2,0
1,38,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
3,38,12,2001,2,1,1,2,2,4,1,1,1,1,1,3,1,2,9,6,1,1,35,2,2,0
6,38,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,33,2,2,1
1,36,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,33,2,2,0
4,36,12,2001,2,1,1,2,2,1,1,2,1,1,1,1,1,2,14,6,1,1,33,2,2,0
3,39,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
3,39,11,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
4,35,10,2001,3,1,1,2,2,1,2,1,1,1,1,2,1,2,9,6,1,1,33,2,2,0
1,35,12,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,27,2,2,0
1,49,6,2001,4,1,1,2,2,1,2,1,1,1,1,2,1,2,6,6,1,1,33,2,2,0
2,49,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
3,40,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,1
3,40,10,2001,4,1,1,2,2,1,4,2,1,1,1,1,1,2,14,6,1,1,33,2,2,1
6,40,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,33,2,2,1
1,52,12,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,9,6,1,1,33,2,2,0
1,50,10,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,8,6,1,1,33,2,2,0
1,50,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,9,6,1,1,33,2,2,0
1,50,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,33,2,2,1
9,50,11,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,19,6,1,1,33,2,2,3
1,50,12,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,7,6,1,1,33,2,2,0
1,50,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,24,2,2,0
4,45,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,1,33,2,2,1
3,46,5,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
5,46,3,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,33,2,2,0
5,46,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,33,2,2,2
6,47,12,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,33,2,2,0
7,47,12,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,33,2,2,0
12,47,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,1,12,6,1,1,33,2,2,0
4,51,12,2001,3,1,1,2,2,1,1,3,1,1,2,2,1,2,14,6,1,1,33,2,2,2
7,51,6,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,33,2,2,1
9,51,5,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
2,44,4,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,33,2,2,1
4,44,5,2001,2,1,1,2,2,1,2,1,1,1,1,2,1,2,14,6,1,1,33,2,2,0
7,44,4,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1,33,2,2,0
21,42,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,2,2,0
21,42,2,2001,4,3,1,2,2,1,3,1,1,1,1,5,1,1,14,6,1,1,33,2,2,0
3,42,1,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1,33,2,2,0
4,42,1,2001,2,1,1,1,2,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,0
4,42,2,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,2,2,0
14,42,1,2001,4,2,4,2,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,1,2,0
9,42,1,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,5,6,1,2,33,2,2,1
9,42,2,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,10,6,1,1,40,2,2,1
16,42,3,2001,4,2,5,1,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,2,2,1
18,42,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,1,2,33,1,2,1
18,42,3,2001,2,1,2,1,1,1,1,1,1,1,1,5,1,1,14,6,1,1,35,2,2,1
18,42,3,2001,4,6,4,2,1,1,3,1,1,1,1,5,1,1,7,6,1,2,25,2,2,1
