Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt
3,36,4,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,21,2,2
1,38,3,5,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,40,2,2
5,38,4,2,2001,2,1,1,2,2,1,1,2,1,2,1,3,1,2,4,6,1,1,,2,2
6,38,4,5,2001,1,1,1,2,2,1,4,2,1,1,1,1,1,2,10,10,1,1,30,2,2
1,38,3,6,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,6,6,1,1,28,2,2
1,50,3,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,5,1,1,,2,2
10,50,4,7,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,6,6,1,1,,2,2
1,40,4,8,2001,3,1,1,2,2,1,1,2,1,1,1,3,1,2,5,6,1,1,,2,2
3,40,4,8,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
3,40,4,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,45,4,6,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,1,8,6,1,1,,2,2
2,45,3,6,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,40,2,2
6,45,3,6,2001,2,1,1,2,2,2,1,1,2,1,1,1,1,2,9,6,1,1,,2,2
1,35,3,5,2001,2,1,1,2,2,1,2,2,1,1,1,2,1,2,14,6,1,1,25,2,2
1,35,3,5,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,7,6,1,1,,2,2
2,35,4,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
4,35,1,5,2001,2,1,1,2,2,2,1,1,2,1,1,1,2,2,9,6,1,1,,2,2
1,35,4,6,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,,2,2
1,39,4,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,47,4,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,3,2,14,6,1,1,,2,2
8,47,3,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,10,6,1,1,,2,2
8,47,3,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,,2,2
9,47,4,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,13,6,1,1,,2,2
12,50,4,8,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,1,14,6,1,1,45,2,2
1,43,4,8,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1,,2,2
5,47,3,8,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,,2,2
5,47,3,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,32,2,2
2,45,3,7,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1,,2,2
1,35,2,8,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,1,8,6,1,1,,2,2
4,35,2,9,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,14,6,1,1,,2,2
5,41,4,4,2001,1,1,1,2,1,1,4,1,1,1,1,2,1,1,14,6,1,1,,2,2
2,35,4,10,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
1,38,4,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,45,4,10,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,8,6,1,1,25,2,2
2,36,3,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,,2,2
1,38,4,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,45,3,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
6,45,4,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,,2,2
8,47,4,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,,2,2
8,47,4,11,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,,2,2
9,47,4,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,38,4,12,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1,45,2,2
1,38,4,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
3,38,4,12,2001,2,1,1,2,2,4,1,1,1,1,1,3,1,2,9,6,1,1,35,2,2
6,38,3,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,,2,2
1,36,4,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,,2,2
4,36,4,12,2001,2,1,1,2,2,1,1,2,1,1,1,1,1,2,14,6,1,1,,2,2
3,39,4,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
3,39,4,11,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1,,2,2
4,35,4,10,2001,3,1,1,2,2,1,2,1,1,1,1,2,1,2,9,6,1,1,,2,2
1,35,4,12,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,27,2,2
1,49,4,6,2001,4,1,1,2,2,1,2,1,1,1,1,2,1,2,6,6,1,1,,2,2
2,49,4,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
3,40,3,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
3,40,3,10,2001,4,1,1,2,2,1,4,2,1,1,1,1,1,2,14,6,1,1,,2,2
6,40,3,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1,,2,2
1,52,4,12,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,9,6,1,1,,2,2
1,50,4,10,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,8,6,1,1,,2,2
1,50,4,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,9,6,1,1,,2,2
1,50,3,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,,2,2
9,50,1,11,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,19,6,1,1,,2,2
1,50,4,12,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,7,6,1,1,,2,2
1,50,4,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,24,2,2
4,45,3,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,1,,2,2
3,46,4,5,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
5,46,4,3,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,,2,2
5,46,2,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,,2,2
6,47,4,12,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,,2,2
7,47,4,12,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,,2,2
12,47,4,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,1,12,6,1,1,,2,2
4,51,2,12,2001,3,1,1,2,2,1,1,3,1,1,2,2,1,2,14,6,1,1,,2,2
7,51,3,6,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1,,2,2
9,51,4,5,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1,,2,2
2,44,3,4,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1,,2,2
4,44,4,5,2001,2,1,1,2,2,1,2,1,1,1,1,2,1,2,14,6,1,1,,2,2
7,44,4,4,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1,,2,2
21,42,4,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,,,2,2
21,42,4,2,2001,4,3,1,2,2,1,3,1,1,1,1,5,1,1,14,6,1,1,,2,2
3,42,4,1,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1,,2,2
4,42,4,1,2001,2,1,1,1,2,1,1,1,1,1,1,5,1,1,14,6,,,,,2
4,42,4,2,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,2,2
14,42,4,1,2001,4,2,4,2,1,1,3,1,1,1,1,5,1,1,14,6,,,,1,2
9,42,3,1,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,5,6,,,,2,2
9,42,3,2,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,10,6,,1,40,2,2
16,42,3,3,2001,4,2,5,1,1,1,3,1,1,1,1,5,1,1,14,6,,,,2,2
18,42,3,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,,,,,2
18,42,3,3,2001,2,1,2,1,1,1,1,1,1,1,1,5,1,1,14,6,,1,35,2,2
18,42,3,3,2001,4,6,4,2,1,1,3,1,1,1,1,5,1,1,7,6,1,,25,2,2
21,42,3,3,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,8,6,2,,,2,2
21,42,4,3,2001,3,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,,,,2,2
21,42,4,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,2,2
21,42,4,4,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,2,2
